sample_index,anchor_found,quadrant,anchor_x,anchor_y,anchor_w,anchor_h,anchor_area,fill_ratio,aspect_ratio,split,image,label_line
29,True,bottom_right,63,7,90,21,753,0.398,4.286,train,1775040206432_6639_1187_48-002.jpg,2
30,True,top_left,20,13,58,21,638,0.524,2.762,train,1775040206432_6639_1187_48-002.jpg,4
31,True,top_left,17,11,64,23,763,0.518,2.783,train,1775040206432_6639_1187_48-002.jpg,5
32,True,top_left,25,10,62,23,731,0.513,2.696,train,1775040206432_6639_1187_48-002.jpg,6
33,True,top_left,28,14,90,23,994,0.480,3.913,train,1775040206432_6639_1187_48-002.jpg,8
34,True,top_left,0,0,38,14,394,0.741,2.714,train,1775040214757_1002_1069_61-002.jpg,0
35,True,top_right,7,12,31,22,350,0.513,1.409,train,1775040214757_1002_1069_61-002.jpg,1
36,True,top_left,0,5,78,26,763,0.376,3.000,train,1775040214757_1002_1069_61-002.jpg,3
37,True,top_left,23,10,73,18,751,0.572,4.056,train,1775040214757_1002_1069_61-002.jpg,5
38,True,bottom_right,75,10,25,18,267,0.593,1.389,train,1775040214757_1002_1069_61-002.jpg,7
39,True,bottom_right,24,8,75,18,647,0.479,4.167,train,1775040214757_1002_1069_61-002.jpg,8
40,True,top_left,18,6,39,20,369,0.473,1.950,train,1775040214757_1002_1069_61-002.jpg,9
41,True,bottom_right,41,11,43,14,389,0.646,3.071,train,1775040214757_1002_1069_61-002.jpg,10
42,True,top_left,14,6,31,18,355,0.636,1.722,train,1775040214757_1002_1069_61-002.jpg,11
43,True,top_left,14,7,44,20,460,0.523,2.200,train,1775040214757_1002_1069_61-002.jpg,12
44,True,bottom_left,18,8,57,21,471,0.393,2.714,train,1775040214757_1002_1069_61-002.jpg,13
45,True,bottom_right,233,0,119,89,3308,0.312,1.337,train,1775040214757_1002_1069_61-002.jpg,16
46,True,bottom_left,0,0,34,61,1105,0.533,0.557,train,1775040222857_1070_1012_43-002.jpg,0
47,True,top_right,128,0,24,11,198,0.750,2.182,train,1775040222857_1070_1012_43-002.jpg,2
48,True,bottom_right,57,15,72,23,681,0.411,3.130,train,1775040222857_1070_1012_43-002.jpg,3
49,True,bottom_right,19,9,107,27,1045,0.362,3.963,train,1775040222857_1070_1012_43-002.jpg,4
50,True,bottom_left,19,8,57,24,673,0.492,2.375,train,1775040222857_1070_1012_43-002.jpg,5
51,True,top_right,308,0,23,18,338,0.816,1.278,train,1775040222857_1070_1106_43-006.jpg,0
52,True,bottom_right,70,9,27,20,302,0.559,1.350,train,1775040222857_1070_1106_43-006.jpg,2
53,True,bottom_right,110,11,66,26,758,0.442,2.538,train,1775040222857_1070_1106_43-006.jpg,3
54,True,top_left,23,9,49,22,415,0.385,2.227,train,1775040222857_1070_1106_43-006.jpg,5
55,True,bottom_right,72,15,61,30,658,0.360,2.033,train,1775040222857_1070_1106_43-006.jpg,6
56,True,top_right,500,0,49,101,3790,0.766,0.485,train,1775040222857_1070_1111_43-005.jpg,0
57,True,top_right,113,15,78,33,1141,0.443,2.364,train,1775040222857_1070_1111_43-005.jpg,2
58,True,bottom_right,196,28,73,34,1187,0.478,2.147,train,1775040222857_1070_1111_43-005.jpg,3
59,True,top_left,118,20,71,29,892,0.433,2.448,train,1775040222857_1070_1111_43-005.jpg,4
60,True,top_left,29,7,39,23,477,0.532,1.696,train,1775040222857_1070_1147_43-008.jpg,0
61,True,top_left,29,8,83,27,1203,0.537,3.074,train,1775040222857_1070_1147_43-008.jpg,1
62,True,bottom_right,98,14,33,20,284,0.430,1.650,train,1775040222857_1070_1147_43-008.jpg,2
63,True,bottom_right,104,13,61,25,741,0.486,2.440,train,1775040222857_1070_1147_43-008.jpg,3
64,True,bottom_left,19,6,31,18,302,0.541,1.722,train,1775040222857_1070_1147_43-008.jpg,4
65,True,bottom_right,108,7,41,20,385,0.470,2.050,train,1775040222857_1070_1147_43-008.jpg,5
66,True,bottom_left,24,9,62,18,469,0.420,3.444,train,1775040222857_1070_1147_43-008.jpg,6
67,True,top_right,68,7,36,17,349,0.570,2.118,train,1775040222857_1070_1147_43-008.jpg,7
68,True,bottom_right,74,12,32,20,356,0.556,1.600,train,1775040222857_1070_1147_43-008.jpg,11
69,True,top_left,58,7,88,21,787,0.426,4.190,train,1775040222857_1070_1147_43-008.jpg,12
70,True,bottom_right,247,28,69,29,863,0.431,2.379,train,1775040222857_1070_1150_43-007.jpg,0
71,True,top_left,43,12,202,43,2593,0.299,4.698,train,1775040222857_1070_1150_43-007.jpg,1
72,True,top_left,45,17,114,36,2016,0.491,3.167,train,1775040222857_1070_1150_43-007.jpg,2
