region_key,image_idx,url_tail,region_idx,region_label,captured_ts,overlay_path,source_image_path,slot_id,x_bin,y_bin,cx,cy,shelf_x1,shelf_y1,shelf_x2,shelf_y2,detector_source,is_true_empty,review_status,reviewer,notes
1778061259494#1048#1255#15-013::1,4,1778061259494#1048#1255#15-013,1,4.1,2026-05-06 09:54:19.494000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/04_1778061259494_1048_1255_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778061259494_1048_1255_15-013.jpg,"2.0,2.0",2.0,2.0,2.19,2.103,2.123,1.965,2.257,2.241,camera_cart,,needs_review,,
1778061259494#1048#1255#15-013::2,4,1778061259494#1048#1255#15-013,2,4.2,2026-05-06 09:54:19.494000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/04_1778061259494_1048_1255_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778061259494_1048_1255_15-013.jpg,"2.0,2.0",2.0,2.0,1.959,2.119,1.889,1.976,2.03,2.263,camera_cart,,needs_review,,
1778061259494#1048#1255#15-013::3,4,1778061259494#1048#1255#15-013,3,4.3,2026-05-06 09:54:19.494000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/04_1778061259494_1048_1255_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778061259494_1048_1255_15-013.jpg,"2.0,0.5",2.0,0.5,1.878,0.673,1.795,0.417,1.961,0.929,camera_cart,,needs_review,,
1778152127886#1048#1078#15-013::1,5,1778152127886#1048#1078#15-013,1,5.1,2026-05-07 11:08:47.886000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/05_1778152127886_1048_1078_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778152127886#1048#1078#15-013.jpg,"2.5,0.5",2.5,0.5,2.548,0.684,2.476,0.449,2.619,0.92,camera_cart,,needs_review,,
1778238552969#1048#1065#15-013::1,6,1778238552969#1048#1065#15-013,1,6.1,2026-05-08 11:09:12.969000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/06_1778238552969_1048_1065_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778238552969_1048_1065_15-013.jpg,"2.5,2.0",2.5,2.0,2.478,2.078,2.406,1.921,2.549,2.235,camera_cart,,needs_review,,
1778238552969#1048#1065#15-013::2,6,1778238552969#1048#1065#15-013,2,6.2,2026-05-08 11:09:12.969000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/06_1778238552969_1048_1065_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778238552969_1048_1065_15-013.jpg,"2.5,2.0",2.5,2.0,2.707,2.073,2.637,1.925,2.776,2.221,camera_cart,,needs_review,,
1778238552969#1048#1065#15-013::3,6,1778238552969#1048#1065#15-013,3,6.3,2026-05-08 11:09:12.969000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/06_1778238552969_1048_1065_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778238552969_1048_1065_15-013.jpg,"2.5,0.5",2.5,0.5,2.547,0.619,2.464,0.369,2.63,0.87,camera_cart,,needs_review,,
1778323251941#1048#1250#15-013::1,7,1778323251941#1048#1250#15-013,1,7.1,2026-05-09 10:40:51.941000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/07_1778323251941_1048_1250_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778323251941_1048_1250_15-013.jpg,"1.5,1.0",1.5,1.0,1.451,1.202,1.382,1.081,1.52,1.323,camera_cart,,needs_review,,
1778323251941#1048#1250#15-013::2,7,1778323251941#1048#1250#15-013,2,7.2,2026-05-09 10:40:51.941000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/07_1778323251941_1048_1250_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778323251941_1048_1250_15-013.jpg,"2.0,0.5",2.0,0.5,1.881,0.689,1.794,0.443,1.967,0.935,camera_cart,,needs_review,,
1778485362596#1048#1264#15-013::1,8,1778485362596#1048#1264#15-013,1,8.1,2026-05-11 07:42:42.596000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/08_1778485362596_1048_1264_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778485362596_1048_1264_15-013.jpg,"2.0,2.0",2.0,2.0,2.205,2.069,2.124,1.903,2.286,2.235,camera_cart,,needs_review,,
1778574001592#1048#1054#15-013::1,9,1778574001592#1048#1054#15-013,1,9.1,2026-05-12 08:20:01.592000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/09_1778574001592_1048_1054_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778574001592_1048_1054_15-013.jpg,"3.0,2.0",3.0,2.0,3.032,2.022,2.96,1.877,3.104,2.166,camera_cart,,needs_review,,
1778574001592#1048#1054#15-013::2,9,1778574001592#1048#1054#15-013,2,9.2,2026-05-12 08:20:01.592000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/09_1778574001592_1048_1054_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778574001592_1048_1054_15-013.jpg,"2.0,1.0",2.0,1.0,2.189,1.155,2.127,1.037,2.251,1.272,camera_cart,,needs_review,,
1778574001592#1048#1054#15-013::3,9,1778574001592#1048#1054#15-013,3,9.3,2026-05-12 08:20:01.592000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/09_1778574001592_1048_1054_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778574001592_1048_1054_15-013.jpg,"2.5,0.5",2.5,0.5,2.667,0.655,2.586,0.419,2.748,0.892,camera_cart,,needs_review,,
1778574001592#1048#1054#15-013::4,9,1778574001592#1048#1054#15-013,4,9.4,2026-05-12 08:20:01.592000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/09_1778574001592_1048_1054_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778574001592_1048_1054_15-013.jpg,"3.5,2.0",3.5,2.0,3.716,2.023,3.649,1.888,3.782,2.159,camera_cart,,needs_review,,
1778664475737#1048#1176#15-013::1,10,1778664475737#1048#1176#15-013,1,10.1,2026-05-13 09:27:55.737000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/10_1778664475737_1048_1176_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778664475737_1048_1176_15-013.jpg,"2.0,2.0",2.0,2.0,2.175,1.752,2.108,1.608,2.242,1.897,camera_cart,,needs_review,,
1778664475737#1048#1176#15-013::2,10,1778664475737#1048#1176#15-013,2,10.2,2026-05-13 09:27:55.737000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/10_1778664475737_1048_1176_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778664475737_1048_1176_15-013.jpg,"3.0,1.5",3.0,1.5,3.198,1.316,3.129,1.138,3.267,1.494,camera_cart,,needs_review,,
1778664475737#1048#1176#15-013::3,10,1778664475737#1048#1176#15-013,3,10.3,2026-05-13 09:27:55.737000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/10_1778664475737_1048_1176_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778664475737_1048_1176_15-013.jpg,"2.0,1.5",2.0,1.5,2.163,1.434,2.092,1.286,2.235,1.582,camera_cart,,needs_review,,
1778664475737#1048#1176#15-013::4,10,1778664475737#1048#1176#15-013,4,10.4,2026-05-13 09:27:55.737000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/10_1778664475737_1048_1176_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778664475737_1048_1176_15-013.jpg,"1.5,1.0",1.5,1.0,1.428,1.192,1.356,1.067,1.5,1.316,camera_cart,,needs_review,,
1778664475737#1048#1176#15-013::5,10,1778664475737#1048#1176#15-013,5,10.5,2026-05-13 09:27:55.737000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/10_1778664475737_1048_1176_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778664475737_1048_1176_15-013.jpg,"0.5,2.0",0.5,2.0,0.703,1.841,0.623,1.705,0.783,1.978,camera_cart,,needs_review,,
1778664475737#1048#1176#15-013::6,10,1778664475737#1048#1176#15-013,6,10.6,2026-05-13 09:27:55.737000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/10_1778664475737_1048_1176_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778664475737_1048_1176_15-013.jpg,"2.0,0.5",2.0,0.5,1.876,0.663,1.769,0.414,1.983,0.913,camera_cart,,needs_review,,
1778664475737#1048#1176#15-013::7,10,1778664475737#1048#1176#15-013,7,10.7,2026-05-13 09:27:55.737000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/10_1778664475737_1048_1176_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778664475737_1048_1176_15-013.jpg,"2.0,1.5",2.0,1.5,1.868,1.563,1.798,1.44,1.938,1.687,camera_cart,,needs_review,,
1778755940152#1048#1204#15-013::1,11,1778755940152#1048#1204#15-013,1,11.1,2026-05-14 10:52:20.152000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/11_1778755940152_1048_1204_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778755940152_1048_1204_15-013.jpg,"2.0,2.0",2.0,2.0,2.128,1.763,2.063,1.622,2.194,1.904,camera_cart,,needs_review,,
1778755940152#1048#1204#15-013::2,11,1778755940152#1048#1204#15-013,2,11.2,2026-05-14 10:52:20.152000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/11_1778755940152_1048_1204_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778755940152_1048_1204_15-013.jpg,"0.5,2.0",0.5,2.0,0.668,1.853,0.586,1.713,0.751,1.993,camera_cart,,needs_review,,
1778755940152#1048#1204#15-013::3,11,1778755940152#1048#1204#15-013,3,11.3,2026-05-14 10:52:20.152000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/11_1778755940152_1048_1204_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778755940152_1048_1204_15-013.jpg,"2.0,1.5",2.0,1.5,1.829,1.573,1.762,1.457,1.896,1.688,camera_cart,,needs_review,,
1778755940152#1048#1204#15-013::4,11,1778755940152#1048#1204#15-013,4,11.4,2026-05-14 10:52:20.152000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/11_1778755940152_1048_1204_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778755940152_1048_1204_15-013.jpg,"2.0,0.5",2.0,0.5,1.836,0.693,1.728,0.445,1.943,0.941,camera_cart,,needs_review,,
1778836917293#1048#1247#15-013::1,12,1778836917293#1048#1247#15-013,1,12.1,2026-05-15 09:21:57.293000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/12_1778836917293_1048_1247_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1778836917293_1048_1247_15-013.jpg,"2.0,1.5",2.0,1.5,1.773,1.551,1.646,1.285,1.9,1.818,camera_cart,,needs_review,,
1779095664038#1048#1045#15-013::1,13,1779095664038#1048#1045#15-013,1,13.1,2026-05-18 09:14:24.038000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/13_1779095664038_1048_1045_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1779095664038_1048_1045_15-013.jpg,"4.0,3.5",4.0,3.5,4.122,3.743,3.819,3.438,4.424,4.048,camera_cart,,needs_review,,
1779095664038#1048#1045#15-013::2,13,1779095664038#1048#1045#15-013,2,13.2,2026-05-18 09:14:24.038000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/13_1779095664038_1048_1045_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1779095664038_1048_1045_15-013.jpg,"3.0,2.0",3.0,2.0,3.131,2.037,3.062,1.888,3.201,2.187,camera_cart,,needs_review,,
1779095664038#1048#1045#15-013::3,13,1779095664038#1048#1045#15-013,3,13.3,2026-05-18 09:14:24.038000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/13_1779095664038_1048_1045_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1779095664038_1048_1045_15-013.jpg,"4.0,2.0",4.0,2.0,3.792,2.025,3.725,1.893,3.859,2.157,camera_cart,,needs_review,,
1779530651748#1048#1054#15-013::1,14,1779530651748#1048#1054#15-013,1,14.1,2026-05-23 10:04:11.748000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/14_1779530651748_1048_1054_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1779530651748_1048_1054_15-013.jpg,"2.5,1.5",2.5,1.5,2.261,1.493,2.194,1.348,2.328,1.637,camera_cart,,needs_review,,
1779703428853#1048#1170#15-013::1,15,1779703428853#1048#1170#15-013,1,15.1,2026-05-25 10:03:48.853000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/15_1779703428853_1048_1170_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1779703428853_1048_1170_15-013.jpg,"2.0,2.0",2.0,2.0,2.2,2.079,2.12,1.906,2.281,2.251,camera_cart,,needs_review,,
1779703428853#1048#1170#15-013::2,15,1779703428853#1048#1170#15-013,2,15.2,2026-05-25 10:03:48.853000 UTC,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data_overlay/15_1779703428853_1048_1170_15-013_empty_overlay.jpg,/Users/avinash.patel/Downloads/HomeDepotCV/temporal_data/1779703428853_1048_1170_15-013.jpg,"1.0,1.5",1.0,1.5,1.215,1.433,1.127,1.255,1.302,1.611,camera_cart,,needs_review,,
